country,date,Electricity Output,GDP,Total Energy Consumption,Total Population
Bangladesh,2009,37862.0,89356650349.4064,871559.0,149503100.0
Bangladesh,2008,34957.0,79554350677.7438,816695.0,147969967.0
Bangladesh,2007,31286.0,68415421372.7194,751158.0,146457067.0
Bangladesh,2006,29879.0,61901116736.1525,706967.0,144868702.0
Bangladesh,2005,26506.0,60277560975.6098,680979.0,143135180.0
Bangladesh,2004,24684.0,56560744012.2303,646377.0,141235035.0
Bangladesh,2003,19712.0,51913661485.3195,636844.0,139185986.0
Bangladesh,2002,18665.0,47571130071.3913,606707.0,137006279.0
Bangladesh,2001,17392.0,46987842846.553,582265.0,134729503.0
Bangladesh,2000,15771.0,47124925462.1348,539873.0,132383265.0
Bangladesh,1999,14450.0,45694072379.3677,516740.0,129966823.0
Bangladesh,1998,12882.0,44091754148.1822,508315.0,127478524.0
Bangladesh,1997,11858.0,42318798537.7144,502160.0,124945315.0
Bangladesh,1996,11474.0,40666015641.0564,469347.0,122400896.0
Bangladesh,1995,10806.0,37939752959.8665,472360.0,119869585.0
Bangladesh,1994,9784.0,33768661426.8069,437751.0,117369492.0
Bangladesh,1993,9206.0,33166530060.0412,417183.0,114897543.0
Bangladesh,1992,8894.0,31708863729.9733,409193.0,112430968.0
Bangladesh,1991,8270.0,30957444767.4222,394196.0,109934590.0
Bangladesh,1990,7732.0,30128776343.5767,402048.0,107385847.0
Bhutan,2009,6998.859864,1264758197.96593,54185.9336362,704542.0
Bhutan,2008,6961.956912,1258193518.73133,52384.5706378,692159.0
Bhutan,2007,6562.52496,1196091805.60403,50336.796402,679365.0
Bhutan,2006,4521.161664,897672085.755359,48253.8358672,665568.0
Bhutan,2005,2647.7118,818869145.811526,47208.6242216,650417.0
Bhutan,2004,2354.988384,702682018.270426,45598.3004492,633893.0
Bhutan,2003,2529.302328,622026106.84369,45595.5470952,616383.0
Bhutan,2002,2201.0860728,537050133.254524,45470.8990892,598455.0
Bhutan,2001,2059.564752,476360697.049551,43299.7924,580888.0
Bhutan,2000,1810.1448,439158233.475187,42519.2074,564350.0
Bhutan,1999,1800.144,419035810.783235,41511.3664,548599.0
Bhutan,1998,1801.14408,376955086.107719,40831.96,533737.0
Bhutan,1997,1838.14704,365964500.196472,39648.0072,521146.0
Bhutan,1996,1972.15776,316420860.158369,39133.538,512594.0
Bhutan,1995,1630.1304,303053461.882371,16338.9632,509105.0
Bhutan,1994,1686.13488,270801565.190961,15826.178,511588.0
Bhutan,1993,1684.13472,235239569.337404,14682.5754,519056.0
Bhutan,1992,1564.12512,250794358.529508,12865.8718,528304.0
Bhutan,1991,1564.12512,250045841.039783,12840.959,534905.0
Bhutan,1990,1564.12512,299787274.771613,12649.664,535738.0
India,2009,906818.0,1365372433342.03,16855084.0,1190138069.0
India,2008,841712.0,1224097069460.46,15853004.0,1174662334.0
India,2007,813912.0,1238700195643.9,14984900.0,1159095250.0
India,2006,753253.0,949116769619.216,14409632.0,1143289350.0
India,2005,698248.0,834215013605.008,13743264.0,1127143548.0
India,2004,666649.0,721585608183.503,13266113.0,1110626108.0
India,2003,634037.0,618356467437.867,12745791.0,1093786762.0
India,2002,597293.0,523968561883.754,12544483.0,1076705723.0
India,2001,579860.0,493954333980.594,12182960.0,1059500888.0
India,2000,561248.0,476609148165.643,12133232.0,1042261758.0
India,1999,536609.0,466867079641.707,12215064.0,1025014711.0
India,1998,496929.0,428741030147.281,11899510.0,1007746556.0
India,1997,465812.0,423160419439.977,11859021.0,990460131.0
India,1996,436736.0,399786888515.031,11452702.0,973147577.0
India,1995,417624.0,366599645609.097,11287746.0,955804355.0
India,1994,385438.0,333014463391.511,11048721.0,938452550.0
India,1993,356335.0,284193716755.321,10654532.0,921107534.0
India,1992,332713.0,293262352360.487,10578196.0,903749636.0
India,1991,315631.0,274842348144.396,10362743.0,886348712.0
India,1990,289438.0,326608014285.815,10049959.0,868890700.0
Sri Lanka,2009,9882.0,42067974595.4411,330600.0,20450000.0
Sri Lanka,2008,9242.0,40715240468.9375,332979.0,20217000.0
Sri Lanka,2007,9901.0,32351184234.3157,343857.0,20039000.0
Sri Lanka,2006,9500.0,28267410542.5164,336799.0,19858000.0
Sri Lanka,2005,9324.0,24405791044.7761,334806.0,19644000.0
Sri Lanka,2004,8235.0,20662525941.2986,318082.0,19435000.0
Sri Lanka,2003,7716.0,18881765437.2151,311639.0,19173000.0
Sri Lanka,2002,7087.0,17102623876.2283,300603.0,18921000.0
Sri Lanka,2001,6781.0,15746224409.8,296883.0,18797000.0
Sri Lanka,2000,7004.0,16330810303.9159,302371.0,19102000.0
Sri Lanka,1999,6184.0,15656342015.855,296933.0,19056000.0
Sri Lanka,1998,5683.0,15794972847.1683,279041.0,18784000.0
Sri Lanka,1997,5145.0,15091930835.7349,273618.0,18568000.0
Sri Lanka,1996,4530.0,13897738375.2488,270898.0,18336000.0
Sri Lanka,1995,4802.0,13029697560.9756,236650.0,18136000.0
Sri Lanka,1994,4387.0,11717604208.8223,233965.0,17891000.0
Sri Lanka,1993,3979.0,10338679635.7616,235647.0,17646000.0
Sri Lanka,1992,3540.0,9703011635.86585,236305.0,17426000.0
Sri Lanka,1991,3377.0,9000362581.58086,221583.0,17267000.0
Sri Lanka,1990,3150.0,8032551173.24014,220777.0,17015000.0
Maldives,2009,320.0256,1984639640.86858,2116.785,319660.0
Maldives,2008,280.0224,1891633531.16451,1893.5862,313843.0
Maldives,2007,245.0196,1541978558.62324,1346.3922,308239.0
Maldives,2006,212.01696,1303375806.06689,1418.3898,302825.0
Maldives,2005,185.0148,992473987.301945,1177.1922,297576.0
Maldives,2004,160.0128,1075605492.18297,1231.1904,292505.0
Maldives,2003,141.01128,949867661.833266,1029.5922,287594.0
Maldives,2002,126.01008,828240882.492352,957.5922,282743.0
Maldives,2001,116.00928,802442810.457516,1105.1898,277825.0
Maldives,2000,104.00832,624337143.585387,673.1952,272745.0
Maldives,1999,93.00744,589239757.009346,590.3958,267456.0
Maldives,1998,82.00656,540096400.169924,511.1964,261973.0
Maldives,1997,71.00568,508223603.228547,478.7964,256347.0
Maldives,1996,63.00504,450382327.952421,453.5964,250659.0
Maldives,1995,57.00456,398988954.970263,439.1964,244965.0
Maldives,1994,46.00368,355884383.08887,287.9982,239291.0
Maldives,1993,40.0032,322326642.335766,309.5976,233611.0
Maldives,1992,30.0024,284853358.561968,273.5976,227863.0
Maldives,1991,28.00224,244468292.682927,223.1982,221963.0
Maldives,1990,24.00192,215089005.235602,205.1982,215859.0
Nepal,2009,3115.0,12899651883.5748,413314.0,26544943.0
Nepal,2008,2812.0,12545438605.3959,397877.0,26249412.0
Nepal,2007,2792.0,10325618017.379,386078.0,25950022.0
Nepal,2006,2748.0,9043715355.8881,378938.0,25634043.0
Nepal,2005,2533.0,8130258976.02985,378885.0,25292058.0
Nepal,2004,2418.0,7273933992.74548,367235.0,24921910.0
Nepal,2003,2267.0,6330476434.54937,361484.0,24525527.0
Nepal,2002,2123.0,6050875806.66403,351307.0,24102862.0
Nepal,2001,1867.0,6007061224.4898,347488.0,23655119.0
Nepal,2000,1659.0,5494252207.90502,336177.0,23184177.0
Nepal,1999,1478.0,5033642384.10596,317803.0,22690158.0
Nepal,1998,1250.0,4856255044.39064,302001.0,22175431.0
Nepal,1997,1169.0,4918691916.53516,294658.0,21647305.0
Nepal,1996,1221.0,4521580381.47139,285814.0,21115271.0
Nepal,1995,1196.0,4401104417.67068,278877.0,20587157.0
Nepal,1994,1010.0,4066775510.20408,270665.0,20065413.0
Nepal,1993,933.0,3660041666.66667,261403.0,19551500.0
Nepal,1992,886.0,3401211581.29176,254185.0,19050879.0
Nepal,1991,932.0,3921476084.89072,248808.0,18569445.0
Nepal,1990,878.0,3627559252.20577,241049.0,18111200.0
Pakistan,2009,95400.0,167874973609.977,2728173.0,170093999.0
Pakistan,2008,91626.0,170077814106.305,2663528.0,167008083.0
Pakistan,2007,95691.0,152385716311.916,2721891.0,163928329.0
Pakistan,2006,98350.0,137264061106.043,2555534.0,160905794.0
Pakistan,2005,93832.0,109502102510.883,2444833.0,157971415.0
Pakistan,2004,85699.0,97977766197.6724,2372948.0,155151394.0
Pakistan,2003,80830.0,83244801092.7096,2235423.0,152419974.0
Pakistan,2002,75704.0,72306820396.2325,2111659.0,149693684.0
Pakistan,2001,72430.0,72309738921.3329,2047639.0,146857081.0
Pakistan,2000,68125.0,73952374969.7995,2014079.0,143832014.0
Pakistan,1999,65780.0,62973855718.8874,2006459.0,140580398.0
Pakistan,1998,65428.0,62191955814.3478,1917727.0,137139290.0
Pakistan,1997,62155.0,62433340468.0228,1874134.0,133597492.0
Pakistan,1996,59125.0,63320170084.4076,1826253.0,130083700.0
Pakistan,1995,56957.0,60636071684.1918,1777655.0,126689577.0
Pakistan,1994,53555.0,51894795657.7709,1701677.0,123450933.0
Pakistan,1993,50646.0,51478354558.3299,1645850.0,120336722.0
Pakistan,1992,48810.0,48635242274.1567,1556848.0,117291344.0
Pakistan,1991,41076.0,45451961233.9905,1454882.0,114229172.0
Pakistan,1990,37673.0,40010425587.1428,1424126.0,111090879.0
